"[run number]","catch-distance","predator-vision","noise-stddev","flocking","max-separate-turn","lock-on-distance","predator-population","predator-FOV","population","catch-handle-time","update-freq","topo","max-hunt-turn","predator-noise-stddev","flocking-weight","speed-stddev","max-vision","max-align-turn","predator-update-freq","hunting?","max-escape-turn","always_react?","max-cohere-turn","switch-penalty","detection-range","predator-speed","minimum-separation","speed","FOV","kill-prey","hunt-start-tick","proportional-turn-modifier","escape-strategy","predator-strategy","[step]","catches","losts"
"464","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","direct","2000","22","30"
"468","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","25"
"469","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","4","23"
"463","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","direct","2000","23","32"
"465","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","direct","2000","26","29"
"466","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","12","26"
"473","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","27"
"467","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","5","23"
"470","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","27"
"475","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","2","23"
"472","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","4","20"
"471","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","19"
"476","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","4","22"
"477","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","25"
"474","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","2","27"
"481","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","0","41"
"478","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","3","17"
"484","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","1","39"
"480","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","2","20"
"487","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","2","36"
"479","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","default","proportional","2000","4","31"
"482","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","0","39"
"488","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","2","41"
"483","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","4","39"
"485","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","2","42"
"486","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","3","42"
"490","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","6","41"
"489","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","2","39"
"492","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","4","44"
"494","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","0","37"
"497","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","proportional","2000","9","21"
"491","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","direct","2000","2","40"
"501","0.5","60","1","true","2","5","1","200","200","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","1500","turn 90 deg","proportional","2000","12","28"
